brand,model,milage,fuel_type,price,engine_hp,age
31,492,213000,0,4200,172.0,18
28,924,143250,0,4999,252.0,23
9,1565,136731,3,13900,320.0,23
16,754,19500,0,45000,420.0,8
3,179,40950,0,29950,252.0,7
3,197,62200,0,28500,333.0,9
9,1544,102604,3,12500,355.0,9
4,970,74850,0,4000,425.0,10
9,395,212500,0,7950,312.0,14
8,600,93971,0,51500,420.0,8
3,1454,60000,0,12300,333.0,12
26,1409,20000,0,56900,523.0,2
36,207,41500,0,44900,503.0,8
15,1855,15000,0,68500,420.0,4
26,1367,46100,2,55000,395.0,4
53,1726,153250,0,9999,310.0,14
36,206,16002,0,46900,469.0,6
19,596,87092,0,16500,429.0,9
14,1119,154247,0,9900,210.0,13
3,199,51000,2,76000,335.0,7
55,1812,100680,0,33687,316.0,11
53,1517,183000,0,29000,381.0,12
14,677,67100,1,25900,450.0,11
16,754,39000,0,38000,420.0,8
3,173,11000,0,17900,211.0,12
3,164,57550,0,39499,220.0,6
36,547,120000,0,15000,268.0,16
54,906,22000,0,87000,174.0,6
4,97,83424,0,23000,240.0,10
36,215,20172,0,45000,563.0,5
36,334,67289,0,28000,241.0,9
4,45,107818,0,12000,230.0,22
14,677,32437,0,30000,450.0,6
9,503,55000,0,32000,430.0,11
9,502,171896,0,10000,300.0,18
4,970,62500,0,49999,425.0,10
18,848,137405,0,26500,310.0,20
1,1362,33060,0,34500,280.0,5
20,1253,49000,0,21000,295.0,9
19,802,66770,0,16000,348.0,9
4,980,73500,0,33200,560.0,9
22,814,12100,0,53900,285.0,3
36,334,70582,0,27000,241.0,10
14,1680,46508,0,32900,252.0,20
26,1416,122000,0,8000,300.0,17
36,1484,153000,0,4900,302.0,24
43,420,86202,0,23500,300.0,8
9,1503,87500,0,10000,300.0,19
4,976,61145,0,36800,560.0,12
53,136,17500,2,47500,200.0,9
53,407,170000,0,7500,179.0,14
36,546,76500,0,30500,302.0,12
53,864,55018,0,32000,295.0,6
14,669,40200,3,48000,385.0,6
17,357,3500,0,54500,160.0,2
43,144,45000,0,63000,385.0,11
53,409,137000,0,13999,210.0,12
26,1416,80000,0,22000,385.0,13
53,83,186117,0,8500,270.0,16
4,964,13750,0,55000,425.0,7
53,406,90400,0,11999,160.0,25
3,1222,38360,0,43500,248.0,6
14,1119,192000,0,6700,210.0,18
14,1112,17000,0,27599,310.0,4
36,546,83112,0,18750,302.0,11
44,25,95400,1,27899,350.0,13
22,1771,110000,0,9500,190.0,23
14,712,29720,0,29500,350.0,8
31,514,26000,0,39995,181.0,8
14,1113,160000,0,4500,300.0,19
53,861,1500,0,4900,270.0,15
4,70,46300,0,29900,248.0,8
20,1253,95400,0,15999,265.0,9
11,1326,153692,0,8300,345.0,20
14,666,63500,0,26500,400.0,7
39,1852,100900,0,9500,261.0,18
9,1661,17000,0,39000,355.0,5
3,199,85500,2,17500,335.0,11
36,1445,41000,0,65000,536.0,10
9,1613,167500,0,13490,320.0,15
36,230,9738,0,62500,503.0,9
4,964,69764,0,6800,333.0,24
36,551,15000,0,41950,402.0,11
21,1836,10000,0,92500,450.0,2
36,210,17300,2,45000,382.0,4
3,1643,40000,0,22000,180.0,9
8,607,98650,0,29500,420.0,6
4,986,35400,0,87500,617.0,5
9,1617,72900,0,17498,355.0,12
14,623,116157,0,10900,310.0,22
28,1009,79422,0,16800,240.0,10
24,1594,100730,0,9995,173.0,15
36,347,76753,0,13999,208.0,9
36,1481,51808,0,54000,429.0,11
14,685,162000,3,11000,385.0,12
22,954,131986,0,7000,210.0,15
8,374,91545,0,41927,318.0,9
20,1256,163000,0,17999,325.0,12
14,656,67500,0,27500,365.0,8
9,502,131800,0,12900,340.0,17
55,1476,90050,0,15900,235.0,24
36,546,58000,0,18000,302.0,13
8,372,95000,0,16000,255.0,20
53,860,98000,0,18000,270.0,10
14,1704,120000,3,29000,169.0,10
11,530,133510,0,6500,210.0,20
38,1167,175700,0,6500,173.0,15
14,671,81000,3,26000,385.0,7
36,161,38900,0,36500,248.0,8
46,810,56985,0,27671,710.0,7
3,1222,73350,0,16500,211.0,8
53,410,161900,0,5700,225.0,20
43,160,48000,0,51500,400.0,12
14,1342,117000,0,28495,270.0,6
43,140,31500,0,71200,350.0,10
9,277,179200,0,26500,366.0,18
20,1236,3300,0,51900,400.0,5
39,1192,13000,0,29995,284.0,3
42,1575,87600,0,11000,260.0,18
15,1862,35134,0,24999,355.0,9
4,962,90000,0,19000,335.0,9
48,1573,184000,0,13250,260.0,17
53,1518,17900,0,40000,381.0,4
20,1253,51335,0,27500,295.0,7
3,1238,70582,0,24700,333.0,8
15,1535,9281,0,36000,420.0,3
1,1356,100080,0,7945,280.0,9
39,781,121219,0,15900,480.0,16
14,633,52673,0,55000,400.0,4
43,425,10500,0,39500,440.0,14
20,1254,84272,0,12750,295.0,11
53,1726,66000,0,31000,381.0,9
9,1559,85500,0,17000,355.0,12
9,1613,52253,3,62499,320.0,14
3,166,102000,0,18900,211.0,14
27,788,16500,0,52500,301.0,4
28,1140,72200,0,52500,450.0,6
26,1417,54800,0,31000,380.0,7
5,486,71280,0,15000,616.0,12
53,863,87500,0,9999,317.0,16
14,1114,94000,0,20995,435.0,8
14,1119,102000,0,8900,210.0,21
36,350,57912,0,21500,268.0,10
22,1762,100574,0,15400,190.0,20
9,1437,146000,0,9500,190.0,24
14,1122,68200,0,15750,305.0,12
27,917,6523,0,54500,471.0,4
14,628,63400,3,32500,310.0,6
43,140,7200,0,48000,443.0,2
11,1326,178416,0,5990,345.0,19
36,547,23950,0,39900,302.0,4
20,742,7200,0,50000,328.0,13
43,430,9822,0,60995,550.0,11
14,781,51400,0,13500,480.0,16
43,308,121800,0,8900,201.0,20
24,1591,11649,0,21000,276.0,14
36,1071,26000,0,39000,255.0,5
5,479,18000,0,89000,582.0,14
4,1773,79950,0,17000,240.0,10
14,646,75000,0,28500,290.0,8
43,144,59528,0,80140,400.0,24
1,1362,59500,0,49900,280.0,5
9,1613,167500,0,18000,355.0,10
53,84,32199,0,48900,270.0,5
14,1112,91000,0,36000,310.0,8
8,373,86281,0,14900,270.0,14
36,772,15000,2,28500,362.0,3
3,1222,69764,0,29950,248.0,9
9,1543,71448,0,28000,355.0,11
52,1100,60000,0,60000,425.0,5
21,1834,170000,0,4900,300.0,21
9,508,3000,0,88950,490.0,2
34,1067,91000,0,12500,184.0,9
22,1765,64517,0,27000,285.0,7
19,805,165000,0,9000,120.0,12
36,1484,134000,0,5500,302.0,14
8,600,3053,0,74900,420.0,4
9,1566,134602,0,8300,275.0,18
36,207,64500,0,43000,503.0,6
28,1009,68425,0,10999,365.0,12
